company_name,company_rating,industry,size,type,years_old,location
Zydus Lifesciences,4.2,Pharma,10k-50k Employees,Public,72,Ahmedabad
Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,47,Ahmedabad
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Ahmedabad
TTEC India,3.8,BPO,1k-5k Employees,Public,40,Ahmedabad
Cadila Pharmaceuticals,3.6,Pharma,5k-10k Employees,Public,73,Ahmedabad
Amneal Pharmaceuticals,4.3,Pharma,5k-10k Employees,,22,Ahmedabad
Torrent Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,53,Ahmedabad
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Ahmedabad
S&P Global,4.2,Analytics & KPO,10k-50k Employees,Public,164,Ahmedabad
Lambda Therapeutic Research,4.7,Clinical Research,1k-5k Employees,,25,Ahmedabad
Arvind Group,4.1,Fashion & Textile,10k-50k Employees,Public,93,Ahmedabad
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Ahmedabad
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Ahmedabad
Torrent Power,3.8,Power,5k-10k Employees,Public,28,Ahmedabad
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Ahmedabad
Petpooja,4.4,Software Product,1k-5k Employees,,13,Ahmedabad
Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Ahmedabad
Adani Group,4.0,Power,10k-50k Employees,Public,36,Ahmedabad
JBM Group,4.0,Auto Components,1k-5k Employees,Public,41,Ahmedabad
Troikaa Pharmaceuticals,3.8,Pharma,1k-5k Employees,,41,Ahmedabad
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Ahmedabad
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Ahmedabad
K D Hospital,4.8,Healthcare,201-500 Employees,,6,Ahmedabad
Shalby Hospitals,4.6,Healthcare,1k-5k Employees,Public,30,Ahmedabad
suzuki motor gujarat,4.3,,,Fortune India 500,,Ahmedabad
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,,17,Ahmedabad
Reliance Retail,4.0,Retail,1 Lakh+ Employees,,18,Ahmedabad
Otsuka Pharmaceutical India Private Limited,4.2,Pharma,501-1k Employees,Forbes Global 2000,8,Ahmedabad
Psp Projects,3.9,Engineering & Construction,1k-5k Employees,,16,Ahmedabad
Adani Enterprises,3.8,,10k-50k Employees,Public,36,Ahmedabad
Tata Motors,4.2,Automobile,10k-50k Employees,Public,79,Ahmedabad
Brainvire,4.0,IT Services & Consulting,201-500 Employees,,24,Ahmedabad
Einfochips,3.5,IT Services & Consulting,1k-5k Employees,,30,Ahmedabad
Electrotherm,4.2,Iron & Steel,1k-5k Employees,Public,41,Ahmedabad
